Allocation Year,Type,Originating State,Serial Range,Acquire Date,Quantity
2023,Standard ,NJ ,2030185690 - 2030185693 ,12/16/2024  ,4
2024,Standard ,DE ,1891867971 - 1891868010 ,12/16/2024  ,40
2024,Standard ,MD ,2142884904 - 2142885078 ,12/16/2024  ,175
2024,Standard ,NJ ,2165975047 - 2165975229 ,12/16/2024  ,183
2024,Standard ,ME ,2168462855 - 2168462885 ,12/16/2024  ,31
2024,Standard ,VT ,2169203126 - 2169203132 ,12/16/2024  ,7
2024,Standard ,CT ,2173671148 - 2173671201 ,12/16/2024  ,54
2024,Standard ,RI ,2175503697 - 2175503717 ,12/16/2024  ,21
2024,Standard ,NY ,2200605977 - 2200606279 ,12/16/2024  ,303
2024,Standard ,NH ,2207649077 - 2207649123 ,12/16/2024  ,47
2024,Standard ,MA ,2217823591 - 2217823724 ,12/16/2024  ,134
